词频排名,单词,阶段,周区间,说明,音标,中文释义,例句
150,after,起点,开始前自测,,ˈæftɚ,prep. 在……之后；紧接着；一次接着一次，持续不断地；跟随，在……身后；（按顺序、重要性）在……后面，仅次于；与……对照，对比；鉴于，由于；尽管；寻找，追捕；关于；模仿，依照；以……命名；（表示时间）（…点）过（…分）；conj. 在……以后；adv. 后来，以后,We'll leave after lunch.　我们将在午饭后动身。
151,best,起点,开始前自测,,ˈbɛst,adj. 最好的，最出色的；最愉快的，最幸福的；最合适的，最恰当的；adv. 最，最高程度地；最出色地，最高标准地；最适合地，最恰当地；n. 最好的事物（或人）；（人或事物所能达到的）最高标准；最合乎要求的事物；（个人的）最高水平，最高纪录；最好的衣服，盛装；<美>（书信结尾的）良好祝愿,It's my best ever score.　这是我得到过的最好分数。
152,software,起点,开始前自测,,ˈsɔfˌtwɛr,n. 软件,Have you loaded the software?　你装上这种软件了吗？
153,then,起点,开始前自测,,ˈðɛn,adv. （指过去）当时，（指将来）到那时；接下来，然后；因此，既然如此；另外，还有；总之；（表示交谈、陈述等的开始或结束）那么；这么说（用于表示对已知情况的判断或询问）；毕竟，话说回来；adj. 当时（任职等）的,The liquid is then diluted.　然后液体就变稀了。
154,jan,起点,开始前自测,释义待核实，不进入核心练习,ˈdʒæn,释义待核实，不计入核心练习,
155,good,起点,开始前自测,,ˈɡʊd,好的,Have a good day.　祝你度过美好的一天。
156,video,起点,开始前自测,,ˈvɪdioʊ,n. （某个事件或场合的）录像；（指方法）录影；录像带；音乐录影；<英>录像机；视频播放软件；adj. 电视的，视频的；图像的，画面的；v. 录下（电视节目）；（用摄像机）拍摄,Do we have a blank video ?　我们有空白录像带吗？
157,well,起点,开始前自测,,ˈwɛl,adv. 顺利地，令人满意地；熟练地，技术好地；妥善地，恰当地；赞扬地，赞许地；有益地，有利地；容易地；友善地；有充分理由，合理地；很，非常；富裕地，舒适地；完全地，充分地；大大地，远远地；（程度或标准）多少，怎样；adj. 健康的；令人满意的；明智的，可取的；n. 水井，油井，气井；楼梯井，电梯井道；<英>（法庭中的）律师席；韦尔斯（有矿泉的地方）（Wells）；（储液体的）凹槽；（大量）来源，源泉；吧台酒架；廉价酒；（物理）势阱，电位阱,This sweater washes well.　这件套衫很耐洗。
158,d,起点,开始前自测,释义待核实，不进入核心练习,ˈdi,释义待核实，不计入核心练习,
159,where,起点,开始前自测,,ˈwɛr,adv. 在哪里；pron. 哪里；conj. 在……的地方,"Daddy, where are you?　爸爸，您在哪儿？"
160,info,起点,开始前自测,,ˈɪnfoʊ,n. 信息；情报,Check out this Info graphic.　看看这个信息图。
161,rights,起点,开始前自测,释义待核实，不进入核心练习,ˈraɪts,释义待核实，不计入核心练习,
162,public,起点,开始前自测,,ˈpʌblɪk,adj. 公众的，大众的；公共的，公用的；政府的，公众事务的；<英> 大学的，为大学的；（声明、事件等）公开的，公诸于众的；公开场合的，大庭广众的；上市的；众所周知的，广为人知的；n. 公众，大众（the public）；志趣相投（或从事同一类活动、具有共同特征）的群体；<非正式>（对某个艺术家、作家或表演家感兴趣的）读者，观众（one's public）；<英>（酒馆中的）低价吧台（=public bar），酒吧（=public house）；公共场所；【名】 （Public）（英）帕布利克（人名）,She retreated from public life.　她放弃了社会生活。
163,books,起点,开始前自测,释义待核实，不进入核心练习,ˈbʊks,释义待核实，不计入核心练习,
164,high,起点,开始前自测,,ˈhaɪ,adj. 高的；富含……的；重要的；先进的，高级的；崇高的；高音的，声音尖锐的；兴高采烈的；喝醉了的，（吸毒后）极度兴奋的；十分赞同的，非常尊敬的；中间的，全盛的；开始变质的，开始发馊的；（宗教或政治观点）极端的，偏激的；（元音）舌位高的；n. 最高水平，最大数量；兴奋，高兴；高气压区；（毒品引致的）快感；高中，中学；强档；高音，高音符；adv. （成本、价值、音量）高，（数量）大；在高处，向高处,I can't sing that high.　我唱不了那么高的调子。
165,school,起点,开始前自测,,ˈskul,学校,The school is next to the park.　学校在公园旁边。
166,through,起点,开始前自测,,ˈθru,prep. 穿过，从一端到另一端；透过（玻璃、窗户等）；越过（地区或空间），在……之间；断开，洞穿；（在应停处）径直通过；以，凭借；贯穿，遍及；自始至终，从头至尾；<美>直至；彻底地（查看或检查）；经历，度过；胜利完成；（提议、观点）获得通过，得到批准；adv. 从一端到另一端；完全地，彻底地，十足地；接通电话；通过（障碍、阶段或测试）；直达，迳直；从头至尾；到（某个阶段或某种程度）；切断， 凿穿；胜利完成；adj. 完成的，结束的；直达的，直通的，中途不停的；断绝的；（公路）对穿的，双向的；（房间）与楼两对面通透的；（竞赛队，竞技者）进入下一轮（比赛）的,He walked through customs.　他步行通过了海关。
167,m,起点,开始前自测,释义待核实，不进入核心练习,ˈɛm,释义待核实，不计入核心练习,
168,each,起点,开始前自测,,ˈitʃ,det. 每，各，每一；pron. 每个，各个；adj. 每个的，各自的,They cost 20p each.　这些东西每个要20便士。
169,links,起点,开始前自测,释义待核实，不进入核心练习,ˈlɪŋks,释义待核实，不计入核心练习,
170,she,起点,开始前自测,,ˈʃi,pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）；n. 女人；雌性动物；n. （She）人名；（中）佘（普通话·威妥玛）,"She doesn't work here, does she?　她不在此地工作，对吧？"
171,review,起点,开始前自测,,ˌrivˈju,n. 审查，检查；评论，评论文章；（时事、艺术等的）评论期刊；述评，回顾；<美>复习，温习；<美>（一门课程的）材料，练习；阅兵，阅兵式；中止快速倒带（或卷带）重放装置；v. 仔细研究，审视；给（书、戏剧、电影等）写评论；回顾，反思；<美>（为考试而）复习，温习；<美>校阅，审核；<英>复查（病人）；检阅（军队）；<法律>将（判决、案件等）提交上级法院（或权力机构）复审,The case is subject to judicial review.　这个案子必须接受司法审查。
172,years,起点,开始前自测,释义待核实，不进入核心练习,ˈjɪrz,释义待核实，不计入核心练习,
173,order,起点,开始前自测,,ˈɔrdɚ,n. 顺序，次序；条理；秩序，治安；命令，指示；点餐，订购；点的餐，订购的货物；汇票，送货单；（社会的）制度，结构；社会阶级，阶层；种类，水准；（会议的）程序，规程；宗教团体，（尤指）修道会；秘密组织（社团）；圣职，牧师职（orders）；勋位，勋爵士团；（动植物）目；（军）专用装备；勋章；装饰样式；（数）阶；<美>（计算机的）等待队列；v. 命令，指示；订购，订货；点（酒菜等）；排列，整理,She barked out an order.　她厉声宣布命令。
174,very,起点,开始前自测,,ˈvɛri,adv. （用于强调形容词或副词）很，非常；极其，完全地；<非正式>显著的，典型的；显然，确实，真正地；adj. 同一的，恰好的，正是的；（加强名词的语气）仅仅的，唯独的，甚至于；（强调极限的地点或时间）最……的，极端的，十足的；最远端的，末端的；<古>真正的，真实的；最佳的，最合适的；【名】 （Very）（法、爱）维里（人名）,She is very caring and very genuine.　她很有同情心，也非常诚实可靠。
175,privacy,起点,开始前自测,,ˈpraɪvəsi,n. 隐私，秘密；清静，（不受干扰的）独处；<古>隐居处,I value my privacy.　我重视自己的隐私。
176,book,起点,开始前自测,,ˈbʊk,书,This book is interesting.　这本书很有趣。
177,items,起点,开始前自测,释义待核实，不进入核心练习,ˈaɪtəmz,释义待核实，不计入核心练习,
178,company,起点,开始前自测,,ˈkʌmpəˌni,n. 公司；陪伴，同伴；宾客，来宾；在一起的一群人；连队；剧团，歌舞团；女童军大队；v. <古>结交，交往；<古>陪伴；【名】 （Company）（美、瑞）孔帕尼（人名）,The company employs 18 workers.　该公司雇用18位职工。
179,r,起点,开始前自测,释义待核实，不进入核心练习,ˈɑr,释义待核实，不计入核心练习,
180,read,起点,开始前自测,,ˈrɛd,阅读（此处为原形）,I read a little every day.　我每天读一点书。
181,group,起点,开始前自测,,ˈɡrup,n. 集体，团体；组，群；集团；乐团，乐队；空军大队（通常由两个或两个以上的基地组成）；（元素周期表中的）族；（系统语法中的）词组；原子团；v. （使）成组，聚集；将……分类,A group of swans floated by.　一群天鹅缓缓游过。
182,sex,起点,开始前自测,,ˈsɛks,n. 性行为，性交；性，性别；雄性，雌性；性器官（用于小说中避免更粗俗或更露骨的措词）；v. 辨别......的性别，辨识......的雌雄；<非正式> 引起……的性欲,He has sex on the brain.　他脑子里想的全是性。
183,need,起点,开始前自测,,ˈnid,需要,I need some help.　我需要帮助。
184,many,起点,开始前自测,,ˈmɛni,det. 许多；（与单数名词及动词连用）许多，大量；pron. 许多；许多人；adj. 许多的,Many pesticides are irritants.　许多杀虫剂都有刺激性。
185,user,起点,开始前自测,,ˈjuzɚ,n. 用户；使用者；n. （User）（土）乌塞尔（人名）,'User fees' is just a politician's euphemism for taxes.　“用户费”不过是政治家对“税款”的委婉说法。
186,said,起点,开始前自测,释义待核实，不进入核心练习,ˈsɛd,释义待核实，不计入核心练习,
187,de,起点,开始前自测,释义待核实，不进入核心练习,ˈdi,释义待核实，不计入核心练习,
188,does,起点,开始前自测,释义待核实，不进入核心练习,ˈdʌz,释义待核实，不计入核心练习,
189,set,起点,开始前自测,,ˈsɛt,（同类事物的）（一）套，（一）副，（一）组；n. 赛特（埃及神话中的大气之神、空气之神、天空的化身）；（美、俄、印、土、巴、意）谢特（人名）；一组（类似的东西）；一组（配套使用的东西）；一伙（或一帮、一群）人（set）；v. 放；使处于（指定的地方、位置）；使处于特定状态（set）,Set the kitchen timer going.　启动厨房定时器。
190,under,起点,开始前自测,,ˈʌndɚ,prep. 在（或到、通过）……下面；在……表面下，由……覆盖着；少于，小于，低于；由……控制（或管理、经营）； 按照，依据（法律、协议或制度）；在……过程中；在……的影响下；用，以（尤指假名）；属于，列入，在……项之下；在……情况下，在……条件下；在（治疗）中；（计算机）在（某个系统）下；栽有；（尤指看法不正确时）以为……；adv. 在下面；在下面穿过；在水下；少于，小于，较年轻；在昏迷中，陷入昏迷状态；adj. 较低的，下面的,She dived under the water.　她潜入水下。
191,general,起点,开始前自测,,ˈdʒɛnɚəl,adj. 总体的，普遍的；一般的，常规的；大致的，大概的；综合的，广泛的；首席的，总管的；n. 上将，将军；半军事化管理的宗教组织（如耶稣会修士、多明我会修士或救世军）的领袖；<古>大众，公众；【名】 （General）（英）杰纳勒尔（人名）,The General refused to be flustered.　将军没有被搅得慌乱不安。
192,research,起点,开始前自测,,riˈsɝtʃ,n. （尤指大学或科研机构进行的）研究，探讨；研究工作，调查工作；v. 研究，探索；为……收集资料，调查,Embryo research is an emotive issue.　胚胎研究是个让人情绪激动的问题。
193,university,起点,开始前自测,,ˌjunəˈvɝsəti,n. 大学，综合性大学；大学校舍,She goes to Duke University.　她上杜克大学。
194,january,起点,开始前自测,,ˈdʒænjuˌɛri,n. 一月,January is my least favourite month.　一月是我最不喜欢的月份。
195,mail,起点,开始前自测,,ˈmeɪl,n. 邮政，邮递系统；邮件，信件；电子邮件；铠甲，锁子甲；（某些动物的）甲壳，鳞；<旧>邮车，邮政运输工具；<古>邮件包，邮袋；邮报（用于报纸名称）；v. 邮寄；用电子邮件发送；给……披上铠甲；【名】 （Mail）（法）马伊（人名）,We do our business by mail.　我们通过邮递做生意。
196,full,起点,开始前自测,,ˈfʊl,adj. 满的，满是……的；饱的；最大量的；完整的，详尽的；足足的；圆润的，浓郁的；充实的；正式的；宽松的；丰满的；（书面装订材料）用于全书面装订的；（头发）过肩的，披肩的；adv. 充分地，完全地；恰好，直接地；非常，极其；n. <古>盛期，顶点；月亮的满月（期）；<古>全部，整个,The glass was half full.　玻璃杯半满。
197,map,起点,开始前自测,,ˈmæp,n. 地图；分布图；（基因）图谱，染色体图；天体图；映射；<非正式>脸，面孔；v. 绘制……的地图；了解信息；详细安排；映射；与……有关，与……有联系；使（基因）在染色体上定位；【名】 （Map）（美）马普（人名）,He traced the route on the map.　他在地图上勾画出了路线。
198,reviews,起点,开始前自测,释义待核实，不进入核心练习,rivˈjuz,释义待核实，不计入核心练习,
199,program,起点,开始前自测,,ˈproʊˌɡræm,n. （计算机）程序（=programme）；计划，规划；（音乐会、戏剧等演出的）节目单，（体育运动、比赛等的）项目介绍；（电视或广播）节目；<美>课程，大纲；v. （给计算机）编写程序，设计程序；设置，预设；使……有倾向；为……安排节目,The program aired last week.　该节目已于上周播出。
200,life,起点,开始前自测,,ˈlaɪf,生命；生活；n. 生命；人命，性命；生物，活物；寿命，一生；（某事物的）存在期；生活，人生；生活方式；（某种）生活；生气，活力；（绘画的）模特儿，实物；（游戏中的）一次机会，命；传记；无期徒刑，终身监禁；今生，来世；adj. 生命的；一生的，终身的,She lives a frugal life.　她过着俭朴的生活。
201,know,起点,开始前自测,,ˈnoʊ,v. 知道；认识到，懂得；熟悉，了解；确信，确定；把……看作是；将……称为；认出，辨认出；能区分；精通，掌握；经历，体验,I hardly know you.　我几乎不了解你。
202,games,起点,开始前自测,释义待核实，不进入核心练习,ˈɡeɪmz,释义待核实，不计入核心练习,
203,way,起点,开始前自测,,ˈweɪ,n. 方法，手段；习俗，习惯，行为方式；（行事）作风，（某事发生的）方式；道路，路线；行进路线，通路；方向；……路（用于道路的名称）；出入通道，门口；距离，时段；方面；（两种之一的）选择；情况，状态；（某人居住的）地区，地方；（分成的）部分；<苏格兰，正式>职业，行当；（船）航行，动力；船台，滑道（ways）；adv. 大大地，远远地；<美>非常，很；adj. 途中的,He continued on his way.　他继续走他的路。
204,days,起点,开始前自测,释义待核实，不进入核心练习,ˈdeɪz,释义待核实，不计入核心练习,
205,management,起点,开始前自测,,ˈmænədʒmənt,n. 经营，管理，安排；管理人员，管理层；（成功的）处理手段，（有效的）处理能力；治疗，监控；<古>欺骗，欺诈,The report blames bad management.　报告归咎于管理不善。
206,p,起点,开始前自测,释义待核实，不进入核心练习,ˈpi,释义待核实，不计入核心练习,
207,part,起点,开始前自测,,ˈpɑrt,"n. 部分；某物的部分（局部）；（书、戏剧、电视剧等的）部，篇，集；（动植物的）器官，部位；部件，零件；成员，参与人员；（世界、国家或城镇等的）区域，地区；（头发的）分缝；（角色的）台词和动作，角色；（在活动或事件中的）作用；（乐器或声音的）声部，音部；（等）份；<古>能力；v. （使）分开，（使）分离；分别；分手；放弃，移交；给（头发）分缝；adv. 既有……又有……（part sth., part sth.）；不完全地，部分地",Part of the roof has caved in.　部分屋顶已经坍塌了。
208,could,起点,开始前自测,,ˈkʊd,v. （礼貌地请求许可）可以，能；（礼貌地请求别人做事）能，能否；（表示可能）可能，也许；（表示未发生的事情）差点就，本能够；（用于提出建议）可以，能；本该，应该（用于对做过或未做某事表示恼怒）；（强调感觉）真想；好像，仿佛；v. 能（can的过去式）,He could be spiteful.　他可能怀有恶意。
209,great,起点,开始前自测,,ˈɡreɪt,adj. 伟大的，著名的；大型的，巨大的；（数量或程度）极大的，很大的；美妙的；身心健康的，精力充沛的；重要的，重大的；热心的，热衷的；和蔼的，随和的；（外）曾祖（或曾孙）的；<爱尔兰>（二人）亲近的，亲密的；擅长……的；adv. 很好地，很棒地；n. 伟人，伟大的事物；金曲,She's a great beauty.　她是个大美人。
210,united,起点,开始前自测,,juˈnaɪtɪd,"adj. 统一的,联合的,团结一致的,植连生的v.“unite”的过去式和过去分词,团结,（为某事）联合，联手，团结；adj. 团结的，统一的；共同的，一致的；联队（用于某些足球队名）；（国家）统一的，合并的；v. （使）联合，（使）团结（unite 的过去式和过去分词形式）",He signed for United yesterday.　昨天他和联队签了约。
211,hotel,起点,开始前自测,,hoʊˈtɛl,n. 旅馆，酒店，饭店；（无线电通讯中）字母H的代码；【名】 （Hotel）（美）奥泰尔（人名）,They bugged her hotel room.　他们在她的旅馆房间里装了窃听器。
212,real,起点,开始前自测,,ˈril,adj. 实际存在的，非想象的；名副其实的；真正的，真实的；真的，非人工的；真诚的；强烈的；确实重大的；十足的，绝对的（用来加强语气）；（数量、数字）真实的，实际的；（光学）（图像）实的；（书或电影中的场景）逼真的，似真的；（哲学）实在的；adv. 很，非常地；n. 雷阿尔（巴西1994年以来的基本货币单位，等于100分）；雷阿尔（多个西班牙语国家以前的硬币和货币单位）,She's a real looker!　她真是个美人！
213,f,起点,开始前自测,释义待核实，不进入核心练习,ˈɛf,释义待核实，不计入核心练习,
214,item,起点,开始前自测,,ˈaɪtəm,n. 项目，条款；一件商品（或物品）；一则，一条（新闻）；（关系亲密的）一对；adv. （用于介绍清单上逐个项目之前）又，此外还有；v. 逐条列出，记下,This item should be hand washed.　这件物品要用手洗。
215,international,起点,开始前自测,,ˌɪntɚˈnæʃənəl,adj. 国际的，国际上的；n. <英>国际比赛；<英>国际比赛选手；<美>外国人；共产国际（International）；国际组织，跨国公司,His speciality is international law.　他的专业是国际法。
216,center,起点,开始前自测,,ˈsɛntɚ,n. （地理位置）中间，中心点；（机构，组织）活动中心；关注点，焦点；中间派，中间立场；中锋；v. 把……放在中央；（使）以……为中心，（使）注意力集中于；（使）主要发生在，（使）集中于；n. （Center）森特（人名）,Any shopping center is fine.　任何购物中心都可以。
217,ebay,起点,开始前自测,释义待核实，不进入核心练习,ˈiˌbeɪ,释义待核实，不计入核心练习,
218,must,起点,开始前自测,,ˈmʌst,aux. （表示必要或很重要）必须；（用于表示肯定推测）一定，谅必；（提出建议）应该；（用于表示意图）一定要，坚持要；（用于表示同情）必定；（用于问句中表示生气）非要 ；（用于感叹句，表示惊讶或震惊）一定是；n. <非正式>必不可少的事物；（发酵前或发酵中的）葡萄汁；潮气，霉菌；（尤指发情期的公象、雄骆驼等的）狂暴状态（=musth）；【名】 （Must）（美）穆斯特（人名）,Why must she interrupt?　她为什么偏要打断呢？
219,store,起点,开始前自测,,ˈstɔr,n. 商店；仓库，储存处；（事物的）储存，储备；大量，丰富；储存的物品（stores）；军需品，补给品（stores）；<英>（计算机的）存储器；重视，注重；待育肥的小羊（或小公牛、小母牛、小猪）；v. 贮存，储藏；（在头脑或计算机中）储存（事实或信息）；【名】 （Store）（德）施托雷（人名）,They run a small grocery store.　他们经营一家小食品杂货店。
220,travel,起点,开始前自测,,ˈtrævəl,vi. 旅行；步行；行进；[口]交往；vt. 在…旅行；经过；n. 旅行；游历；漫游,We always travel first class.　我们总坐头等舱旅行。
221,comments,起点,开始前自测,释义待核实，不进入核心练习,ˈkɑmɛnts,释义待核实，不计入核心练习,
222,made,起点,开始前自测,释义待核实，不进入核心练习,ˈmeɪd,释义待核实，不计入核心练习,
223,development,起点,开始前自测,,dɪˈvɛləpmənt,n. 发育，成长，发达；发展，进步；动态，进展；开发，研制；研制成果；（土地）开发；新建住宅区，新开发区；开始，出现；显影；出子布局,This land is ripe for development.　这片土地适宜开发。
224,report,起点,开始前自测,,riˈpɔrt,n. 报告，汇报；新闻报道；官方文件，调查报告；传闻，传说；<英>（学生）成绩报告单；<法律>案情报告；下属；<正式>爆炸声，枪声；<旧>谣言，流传；<古>名誉，名声；v. 报道；据说，传闻；述说，报告；公告，公布；举报（罪案）， 报告（事故）；报到；描述（感情、病情等）；<英>（议会委员会主席）正式宣布委员会已讨论（法案）；<美>（议会委员会）将法案交还给议会表决；对（上级或监督者）负责，由......领导；告发，检举；【名】 （Report）（匈）雷波特（人名）,She glanced through the report.　她大致浏览了一下报告。
225,off,起点,开始前自测,,ˈɔf,adv. 离开（某处），（在时间或空间上）距，离；从……移开，从……脱离；不再会发生，被取消；关掉，切断；没有，不再供应；不上课，不工作，休息；削价，减价；入睡；做完，光；获得，拥有；<英>（接在数词后）一次的产量；在剧院舞台的后面（或旁边）；prep. 从……离开，向下；靠近，离……不远；从……去掉，从……移开；低于……水平；远离；不上课，不工作，休息；依靠……（过活）；（表示来源或原因）来自，由于；adj. （食物）不新鲜的；<非正式>令人不快的，不公平的；<英，非正式>不友好的，敌对的；状态不如平常好的；<美>不正确的，不对的；微小的；不连接的，不盖在上面的；萧条的，淡季的；离开家的，不工作的；不运转的，不运作的；<英>（一对之中）右边的，右侧的；（某些体育比赛）越位的；在车辆离人行道边缘最远的一侧的,I'm off duty.　我下班了。
226,member,起点,开始前自测,,ˈmɛmbɚ,n. 成员，一分子；会员；<英>议员；用于表示荣誉的头衔（尤指最低级）勋章获得者；（建筑或桥的）构件；（句子）成分；（方程式）端边；（一组数字）项；（数学集合）元；<旧>身体的一部分（如胳膊或腿）；阴茎,She is a life member of the club.　她是这个俱乐部的终身会员。
227,details,起点,开始前自测,释义待核实，不进入核心练习,dɪˈteɪlz,释义待核实，不计入核心练习,
228,line,起点,开始前自测,,ˈlaɪn,n. 线，线条；（运动场地的）场界，场地线；皱纹，褶子；分界线，边界线；（思想或行为等的）界限；轮廓，外形；排，行，列；队列，队伍；一系列（类似事物），家族；各级人员；字行，诗行；（戏剧或电影的）台词，对白；<英>罚抄写（对学童的处罚）（lines）；妙语，谎话；线，绳，索；电话线（路）；热线（电话），电话服务；（铁道或公交）线路；铁轨，轨道；管线；（行进的）方向，路线；路径，渠道；（尤指公开表明的）态度，看法；方法，方式；行业，行当；种类，类型；运输公司，航运公司；防线，前线，战线；生产线，流水线；一串音符；（准备吸用的）散放成细线的毒品；赤道（the Line）；（印刷，计算机）线条的；字母底部水平线（the line）；（正规）战斗部队（the line）；v. 沿……形成行（或列、排）；给……安衬里，铺，垫；（在某物的内部）形成一层；击出（平直球）；用线条标出，布满线条（lined）；【名】 （Line）（英）莱恩，（俄）利涅（人名）,The ball went over the line.　球越线出界了。
229,terms,起点,开始前自测,,ˈtɝmz,n. 地位，关系；[法]条款；术语；措辞；价钱（term 的复数形式）；v. 把……称为（term 的三单形式）,I'm not doing it on your terms.　我不会按你的条件办的。
230,before,起点,开始前自测,,bɪˈfɔr,prep. （时间上）在……之前，早于；在（某个钟点）之前；（次序）在……之前；当面，在……面前；由……考虑中；面对（法院，法庭或其他官方机构）并受审；比……更重要；（位置）在……前面；（未来将发生的事）等待着，面临着；（宁可……而）不愿……；在……影响下，在……威慑下；conj. 在……以前；到……为止；以免，不然；（先）……才……；（宁可……而）不愿；adv. 以前，过去；在（某时间或某事）以前；在前面,I've been here before.　我以前来过这儿。
231,hotels,起点,开始前自测,释义待核实，不进入核心练习,hoʊˈtɛlz,释义待核实，不计入核心练习,
232,did,起点,开始前自测,释义待核实，不进入核心练习,ˈdɪd,释义待核实，不计入核心练习,
233,send,起点,开始前自测,,ˈsɛnd,v. 邮寄，发送；传达，告知；派遣，打发，安排去；使快速（或猛然）移动；使作出（某种反应），使表现出（某种行为）；排放，排出（烟或化学反应的产生物等）；<非正式> 使着迷，使入迷；n. <古> 波浪的推力，波浪引起的水位上升（=scend）；【名】 （Send）（德）森德,Shall I send you the book?　我把书给你寄去，好不好？
234,right,起点,开始前自测,,ˈraɪt,合适的；恰当的；n. （Right）（美、俄、印、英、加、澳）赖特（人名）；adj. （right）正确的；直接的；右方的,That's absolutely right.　那是完全正确的。
235,type,起点,开始前自测,,ˈtaɪp,n. 类型，种类；具有某种特征的人，典型；（印刷的）文字，字体；（印刷）铅字，活字；象征；（艺术的）典型，榜样；（宗教学）预兆；（植，动）型，模式标本；（奖章或硬币）图案；（语言学）类型，型；v. （用计算机或打字机）打字；测定……的类型，分型；【名】 （Type）（英）泰普（人名）,I love this type of book.　我喜欢这类书籍。
236,because,起点,开始前自测,,bɪˈkɔz,因为,I study English because I enjoy travelling.　我学英语是因为我喜欢旅行。
237,local,起点,开始前自测,,ˈloʊkəl,adj. 当地的，地方的；局部的；（汽车或火车）每站都停的，慢的；（计算机）局域的；（食品或饮料）低热量的；n. 当地人，本地人；<英>住处附近的酒吧；<美>（工会的）地方分会；慢车，市内公交车；<俚>炒股散户；本地新闻；局部,She's on the local council.　她是地方议会的议员。
238,those,起点,开始前自测,释义待核实，不进入核心练习,ˈðoʊz,释义待核实，不计入核心练习,
239,using,起点,开始前自测,释义待核实，不进入核心练习,ˈjuzɪŋ,释义待核实，不计入核心练习,
240,results,起点,开始前自测,释义待核实，不进入核心练习,rɪˈzʌlts,释义待核实，不计入核心练习,
241,office,起点,开始前自测,,ˈɔfɪs,办公室,My office is near my home.　我的办公室离家很近。
242,education,起点,开始前自测,,ˌɛdʒəˈkeɪʃən,n. （尤指学校）教育；培养，训练；教育机构，教育界人士；教育学；有教益的经历,Education is a top priority.　教育是当务之急。
243,national,起点,开始前自测,,ˈnæʃənəl,adj. 国家的，全国的；国家所有的，国立的；国内的，本国的；n. 国民，侨民；全国性比赛；全国性报纸,The area has been declared a national park.　该地区已宣布为国家公园。
244,car,起点,开始前自测,,ˈkɑr,n. 汽车，轿车；<美>（火车的）车厢；（火车上作特殊用途的）车厢（如餐车、卧铺车厢）；（电梯的）梯厢，（索道或气球的）吊舱；<文>战车；【名】 （Car）（土）贾尔，（法、西）卡尔，（塞）察尔（人名）,That car is ours.　那辆车是我们的。
245,design,起点,开始前自测,,dɪˈzaɪn,n. 设计，布局，安排；设计艺术，构思；设计图，图纸；图案，花纹；计划，意图；v. 设计，制图，构思；筹划，制订；预定，指定；【名】 （Design）（俄、巴、印）迪赛（人名）,She's good at art and design.　她擅长美术和设计。
246,take,起点,开始前自测,,ˈteɪk,搭乘；乘坐；固定使用；把（某人）带往；使（某人）到；v. 携带，拿走；带去，引领；使达到，提升；拿，取；移走，拿开；偷走，误拿；取材于，收集；攻占，控制；选中，买下；订阅（报纸等）；吃，服用；减去；记录，摘录；照相，摄影；量取，测定；就（座）；以…...为例；接受，收取；接纳，接待（顾客、患者等）；遭受，经受；忍受，容忍；（以某种方式）对待，处理；理解，考虑；误以为；赢得（比赛、竞赛等）；产生（感情），持有（看法）；采取（措施），采用（方法）；做，拥有；采用（形式），就任（职位）；花费，占用（时间）； 需要，要求；使用；穿（特定尺码的鞋或衣物）；容纳；授课；学习，选修（课程）；参加（考试或测验）；走（路线），乘坐（交通工具）；跨过，跳过；踢，掷；举行投票，进行民意调查；成功，奏效；（语法）需带有（某种结构）；n. （一次拍摄的）镜头，场景；收入量；看法，态度；（印刷）一次排版量,Do they take plastic?　他们收信用卡吗？
247,posted,起点,开始前自测,释义待核实，不进入核心练习,ˈpoʊstɪd,释义待核实，不计入核心练习,
248,internet,起点,开始前自测,,ˈɪntɚˌnɛt,n. 因特网，互联网,I looked it up on the Internet.　我在互联网上查过此事。
249,address,起点,开始前自测,,ˈæˌdrɛs,n. 地址，住址；网址；电子邮箱地址；演讲，演说；（电子表格中某个单元格的）位置；<古>（对他人的）谈吐；<古>谦恭（或脉脉含情）的方式；<旧>机敏，迅速；位置存储编码；v. 演说，演讲；处理，设法解决；在（信封、包裹等）上写姓名和地址，致函；<正式> 向……讲话；称呼；<正式>（向某人）提出（陈述、投诉等）；（高尔夫）就位击（球）,Do you know his address?　你知道他的地址吗？
250,community,起点,开始前自测,,kəmˈjunəti,n. 社区，社会；（由同国籍、同宗教等构成的）群体，界；（多个国家的）共同体；归属感；（动植物的）群落,The sense of community is lost.　团体意识没有了。
251,within,起点,开始前自测,,wɪˈðɪn,prep. 在（某段时间）之内；在……限度内；在（某段距离）内；在（某区域或空间）里；在（群体或组织）内部；在自己内心，在心灵深处；接近，误差不到……；adv. 在里面，在内部；在内心深处，在思想上；在（某段时间）之内；（距离）在……之内；（某个地方）之内；在（群体或组织）内部；在……范围内，在……限度内；误差不到……；n. 里面，内部,Suspicion kindled within her.　她渐渐产生了怀疑。
252,states,起点,开始前自测,释义待核实，不进入核心练习,ˈsteɪts,释义待核实，不计入核心练习,
253,area,起点,开始前自测,,ˈɛriə,n. 地区，区域；场地，地方；领域；面积；部位；罚球区；【名】 （Area）（西）阿雷亚（人名）,The area is rich in wildlife.　这个地区的野生动植物很多。
254,want,起点,开始前自测,,ˈwɑnt,想要,I want a small cup.　我想要一个小杯子。
255,phone,起点,开始前自测,,ˈfoʊn,n. 电话，电话系统；受话器，听筒；（语音）音子，音素；v. 给…...打电话；【名】 （Phone）（老、缅）蓬（人名）,My phone number is 266998.　我的电话号码是266998。
